SKUs,Category,Product ID,Brand,Description,OLD Price,SALE Price,Long descriptions,Images
C8500-12X4QC,Home/ Routers/ WAN Aggregation and Internet Edge Routers/ Cisco Catalyst 8500 Series Edge Platforms/ C8500-12X4QC,C8500-12X4QC,Cisco,"Cisco Catalyst 8500, 12-port 1/10GE, 2-port 40/100GE, 2-port 40GE",US$149.00,$99.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">C8500-12X4QC</span> Specification </h2>
<div class=""std"">
        
        Cisco Catalyst 8500, 12-port 1/10GE, 2-port 40/100GE, 2-port 40GE    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8500-series-edge-platforms.jpg 
AIR-PWRINJ4,Home/ Cisco/ Cisco Wireless APs & Controllers/ AP and Bridge Accessories/ AIR-PWRINJ4,AIR-PWRINJ4,Cisco,Cisco AP power option AIR-PWRINJ4 Power Injector - AP1140/1250/1260/3500/1600/1700/2600/2700/3600/3700 Series,US$124.00,$75.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">AIR-PWRINJ4</span> Specification </h2>
<div class=""std"">
<p class=""short-descr"">Cisco AP power option AIR-PWRINJ4 Power Injector - AP1140/1250/1260/3500/1600/1700/2600/2700/3600/3700 Series</p>
</div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/w/i/wireless-ap-air-pwrinj4_1.jpg 
AIR-PWRINJ5,Home/ Cisco/ Cisco Wireless APs & Controllers/ AP and Bridge Accessories/ AIR-PWRINJ5,AIR-PWRINJ5,Cisco,"Aironet power injector AIR-PWRINJ5,  802.3af, 15.4W,Cisco Aironet- AP1140/1250/1260/3500/1600/1700/2600/2700/3600/3700 Series",US$129.00,$53.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">AIR-PWRINJ5</span> Specification </h2>
<div class=""std"">
<table border=""1"" cellpadding=""0"" cellspacing=""0"">
<tbody>
<tr>
<td colspan=""2"" valign=""top"" width=""553"">
<h3 align=""center""><strong>AIR-PWRINJ5 Specification</strong></h3>
</td>
</tr>
<tr>
<td valign=""top"" width=""236"">
<p><strong>Subcategory</strong></p>
</td>
<td valign=""top"" width=""317"">
<p>Power converters, splitters and accessories</p>
</td>
</tr>
<tr>
<td valign=""top"" width=""236"">
<p><strong>Product Type</strong></p>
</td>
<td valign=""top"" width=""317"">
<p>PoE injector</p>
</td>
</tr>
<tr>
<td valign=""top"" width=""236"">
<p><strong>Interfaces</strong></p>
</td>
<td valign=""top"" width=""317"">
<p>1 x Gigabit LAN - RJ-45</p>
</td>
</tr>
<tr>
<td valign=""top"" width=""236"">
<p><strong>Form Factor</strong></p>
</td>
<td valign=""top"" width=""317"">
<p>External</p>
</td>
</tr>
<tr>
<td valign=""top"" width=""236"">
<p><strong>Power Provided</strong></p>
</td>
<td valign=""top"" width=""317"">
<p>15.4 watt</p>
</td>
</tr>
<tr>
<td valign=""top"" width=""236"">
<p><strong>Voltage Required</strong></p>
</td>
<td valign=""top"" width=""317"">
<p>AC 100-240 volt</p>
</td>
</tr>
<tr>
<td valign=""top"" width=""236"">
<p><strong>Frequency Required</strong></p>
</td>
<td valign=""top"" width=""317"">
<p>50 - 60 hertz</p>
</td>
</tr>
<tr>
<td valign=""top"" width=""236"">
<p><strong>Input Connector Type</strong></p>
</td>
<td valign=""top"" width=""317"">
<p>Power IEC 60320 C14</p>
</td>
</tr>
<tr>
<td valign=""top"" width=""236"">
<p><strong>Power Output Connectors Details</strong></p>
</td>
<td valign=""top"" width=""317"">
<p>1 x RJ-45</p>
</td>
</tr>
<tr>
<td valign=""top"" width=""236"">
<p><strong>Electrical</strong></p>
</td>
<td valign=""top"" width=""317"">
<p>802.3af compliant 15.4W power</p>
</td>
</tr>
<tr>
<td valign=""top"" width=""236"">
<p><strong>Connectors</strong></p>
</td>
<td valign=""top"" width=""317"">
<p>2 RJ-45 10/100/1000 (Cat 5 or better Ethernet cable)</p>
</td>
</tr>
<tr>
<td valign=""top"" width=""236"">
<p><strong>Dimensions (L, W, H)</strong></p>
</td>
<td valign=""top"" width=""317"">
<p>165 mm x 65 mm x 36 mm (6.5 in x 2.6 in x 1.4 in)</p>
</td>
</tr>
</tbody>
</table> </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-air-pwrinj5.jpg 
AIR-ACCSMK1520,Home/ Cisco/ Cisco Wireless APs & Controllers/ AP and Bridge Accessories/ AIR-ACCSMK1520,AIR-ACCSMK1520,Cisco,Cisco AP Accessory AIR-ACCSMK1520 1520 Series Strand Mount Kit,US$344.00,$214.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">AIR-ACCSMK1520</span> Specification </h2>
<div class=""std"">
<p class=""short-descr"">Cisco AP Accessory AIR-ACCSMK1520 1520 Series Strand Mount Kit</p>
</div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/i/air-accsmk1520.jpg 
AIR-PWRINJ1500-2,Home/ Cisco/ Cisco Wireless APs & Controllers/ AP and Bridge Accessories/ AIR-PWRINJ1500-2,AIR-PWRINJ1500-2,Cisco,Cisco AP power option AIR-PWRINJ1500-2 1520 Series Power Injector,US$89.00,$70.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">AIR-PWRINJ1500-2</span> Specification </h2>
<div class=""std"">
<p class=""short-descr"">Cisco AP power option AIR-PWRINJ1500-2 1520 Series Power Injector</p>
</div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/w/i/wireless-ap-cisco.jpg 
AIR-ACCWAMK1300,Home/ Cisco/ Cisco Wireless APs & Controllers/ AP and Bridge Accessories/ AIR-ACCWAMK1300,AIR-ACCWAMK1300,Cisco,Cisco AP Accessory AIR-ACCWAMK1300 Aironet 1300 Wall Mount Kit,US$406.00,$137.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">AIR-ACCWAMK1300</span> Specification </h2>
<div class=""std"">
<p class=""short-descr"">Cisco AP Accessory AIR-ACCWAMK1300 Aironet 1300 Wall Mount Kit</p>
</div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/w/i/wireless-ap-cisco.jpg 
AIR-PWR-ST-LT-R3P,Home/ Cisco/ Cisco Wireless APs & Controllers/ AP and Bridge Accessories/ AIR-PWR-ST-LT-R3P,AIR-PWR-ST-LT-R3P,Cisco,"Cisco AP power option AIR-PWR-ST-LT-R3P 1520 Series Street Light Power Tap, 4 ft.",US$239.00,$131.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">AIR-PWR-ST-LT-R3P</span> Specification </h2>
<div class=""std"">
<p class=""short-descr"">Cisco AP power option AIR-PWR-ST-LT-R3P 1520 Series Street Light Power Tap, 4 ft.</p>
</div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/w/i/wireless-ap-cisco.jpg 
AIR-ACCRMK1300,Home/ Cisco/ Cisco Wireless APs & Controllers/ AP and Bridge Accessories/ AIR-ACCRMK1300,AIR-ACCRMK1300,Cisco,Cisco AP Accessory AIR-ACCRMK1300 Aironet 1300 Roof Mount Kit,US$33.00,$15.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">AIR-ACCRMK1300</span> Specification </h2>
<div class=""std"">
<p class=""short-descr"">Cisco AP Accessory AIR-ACCRMK1300 Aironet 1300 Roof Mount Kit</p>
</div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/w/i/wireless-ap-cisco.jpg 
AIR-AP1130MNTGKIT,Home/ Cisco/ Cisco Wireless APs & Controllers/ AP and Bridge Accessories/ AIR-AP1130MNTGKIT,AIR-AP1130MNTGKIT,Cisco,Cisco AP Accessory AIR-AP1130MNTGKIT AP1130 Access Point Ceiling/Wall Mount Bracket Kit-spare,US$69.00,$35.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">AIR-AP1130MNTGKIT</span> Specification </h2>
<div class=""std"">
<p class=""short-descr"">Cisco AP Accessory AIR-AP1130MNTGKIT AP1130 Access Point Ceiling/Wall Mount Bracket Kit-spare</p>
</div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/w/i/wireless-ap-cisco.jpg 
AIR-PWR-B,Home/ Cisco/ Cisco Wireless APs & Controllers/ AP and Bridge Accessories/ AIR-PWR-B,AIR-PWR-B,Cisco,"Cisco AP power option AIR-PWR-B PwrSpply:100-240VAC,48VDC:AP1130,1140,1240,1260,1300,3500",US$279.00,$153.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">AIR-PWR-B</span> Specification </h2>
<div class=""std"">
<table border=""1"" cellpadding=""0"" cellspacing=""0"">
<tbody>
<tr>
<td colspan=""2"" valign=""top"" width=""650"">
<h3 align=""center""><strong>AIR-PWR-B Specification</strong></h3>
</td>
</tr>
<tr>
<td valign=""top"" width=""189"">
<p><strong>Dimensions</strong></p>
</td>
<td valign=""top"" width=""461"">
<p>8 x 7.5 x 2 inches</p>
</td>
</tr>
<tr>
<td valign=""top"" width=""189"">
<p><strong>Number of USB 2.0 ports</strong></p>
</td>
<td valign=""top"" width=""461"">
<p>1</p>
</td>
</tr>
<tr>
<td valign=""top"" width=""189"">
<p><strong>Cooling Type</strong></p>
</td>
<td valign=""top"" width=""461"">
<p>Air</p>
</td>
</tr>
<tr>
<td valign=""top"" width=""189"">
<p align=""left""><strong>Input Voltage Range</strong></p>
</td>
<td valign=""top"" width=""461"">
<p align=""left"">100 V AC to 240 V AC</p>
</td>
</tr>
<tr>
<td valign=""top"" width=""189"">
<p align=""left""><strong>Output Voltage</strong></p>
</td>
<td valign=""top"" width=""461"">
<p align=""left"">48 V DC</p>
</td>
</tr>
<tr>
<td valign=""top"" width=""189"">
<p align=""left""><strong>Maximum Output Current</strong></p>
</td>
<td valign=""top"" width=""461"">
<p align=""left"">380 mA</p>
</td>
</tr>
</tbody>
</table> </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/w/i/wireless-ap-cisco.jpg 
AIR-PWRINJ-BLR2T,Home/ Cisco/ Cisco Wireless APs & Controllers/ AP and Bridge Accessories/ AIR-PWRINJ-BLR2T,AIR-PWRINJ-BLR2T,Cisco,Cisco AP power option AIR-PWRINJ-BLR2T AIRONET 1300 POWER INJECTOR - LR2T,US$299.00,$164.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">AIR-PWRINJ-BLR2T</span> Specification </h2>
<div class=""std"">
<p class=""short-descr"">Cisco AP power option AIR-PWRINJ-BLR2T AIRONET 1300 POWER INJECTOR - LR2T</p>
</div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/w/i/wireless-ap-cisco.jpg 
AIR-PWRINJ-FIB,Home/ Cisco/ Cisco Wireless APs & Controllers/ AP and Bridge Accessories/ AIR-PWRINJ-FIB,AIR-PWRINJ-FIB,Cisco,"Cisco AP power option AIR-PWRINJ-FIB Power Injector Media Converter 1100, 1130AG, 1200,1230AG,521",US$59.00,$37.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">AIR-PWRINJ-FIB</span> Specification </h2>
<div class=""std"">
<p class=""short-descr"">Cisco AP power option AIR-PWRINJ-FIB Power Injector Media Converter 1100, 1130AG, 1200,1230AG,521</p>
</div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/w/i/wireless-ap-cisco.jpg 
AIR-PWRINJ3,Home/ Cisco/ Cisco Wireless APs & Controllers/ AP and Bridge Accessories/ AIR-PWRINJ3,AIR-PWRINJ3,Cisco,"Cisco AP power option AIR-PWRINJ3 Power Injector for 1100, 1130AG, 1200 1230AG, 1240AG, 521",US$434.00,$182.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">AIR-PWRINJ3</span> Specification </h2>
<div class=""std"">
<table border=""1"" class=""bot-spec-tab""><thead><tr><td colspan=""2""><h3 style=""text-align: center;""><strong>AIR-PWRINJ3 Specification</strong></h3></td></tr></thead><tbody><tr><td align=""center"" colspan=""2"">General</td></tr>
<tr><td>Device Type</td><td>PoE injector - external</td></tr><tr><td align=""center"" colspan=""2"">Power Device</td></tr>
<tr><td>Input Voltage</td><td>48 V</td></tr><tr><td>Power Output Connectors Details</td><td>1 x RJ-45</td></tr><tr><td>Output Voltage</td><td>48 V</td></tr><tr><td align=""center"" colspan=""2"">Expansion / Connectivity</td></tr>
<tr><td>Interfaces</td><td>1 x LAN - RJ-45</td></tr><tr><td align=""center"" colspan=""2"">Environmental Parameters</td></tr>
<tr><td>Min Operating Temperature</td><td>32 °F</td></tr><tr><td>Max Operating Temperature</td><td>104 °F</td></tr><tr><td>Humidity Range Operating</td><td>10 - 90%</td></tr><tr><td align=""center"" colspan=""2"">Dimensions &amp; Weight</td></tr>
<tr><td>Width</td><td>5.5 in</td></tr><tr><td>Depth</td><td>2.1 in</td></tr><tr><td>Height</td><td>1.4 in</td></tr><tr><td>Weight</td><td>0.22 lbs</td></tr><tr><td align=""center"" colspan=""2"">Compatibility Information</td></tr>
<tr><td>Designed For</td><td>Cisco Aironet 1100, 1130AG, 1200, 1230AG, 1232AG, 1242AG</td></tr></tbody></table> </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/w/i/wireless-ap-cisco.jpg 
AIR-ACCPMK1550,Home/ Cisco/ Cisco Wireless APs & Controllers/ AP and Bridge Accessories/ AIR-ACCPMK1550,AIR-ACCPMK1550,Cisco,"Pole Mount, 1552 Wireless Access Point",US$659.00,$233.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">AIR-ACCPMK1550</span> Specification </h2>
<div class=""std"">
<p class=""short-descr"">Pole Mount, 1552 Wireless Access Point</p>
</div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/w/i/wireless-ap-pole-mount.jpg.jpg 
AIR-BAND-INST-TL,Home/ Cisco/ Cisco Wireless APs & Controllers/ AP and Bridge Accessories/ AIR-BAND-INST-TL,AIR-BAND-INST-TL,Cisco,"Pole Mount Kit, 1520 Series , Outdoor Mesh Access point, Banding strap tool",US$176.00,$113.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">AIR-BAND-INST-TL</span> Specification </h2>
<div class=""std"">
<p class=""short-descr"">Pole Mount Kit, 1520 Series , Outdoor Mesh Access point, Banding strap tool</p>
</div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/w/i/wireless-ap-air-band-inst-tl.jpg 
