SKUs,Category,Product ID,Brand,Description,OLD Price,SALE Price,Long descriptions,Images
8800-LC-36FH,Home/ Cisco/ Cisco Modules & Cards/ Cisco 8000 Series Routers Modules & Cards/ 8800-LC-36FH,8800-LC-36FH,Cisco,Cisco 8800 36x400 GbE QSFP56-DD Line Card,"US$451,575.00",$731.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">8800-LC-36FH</span> Specification </h2>
<div class=""std"">
        
        Cisco 8800 36x400 GbE QSFP56-DD Line Card    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-8800-lc-36fh.jpg 
8800-LC-48H,Home/ Cisco/ Cisco Modules & Cards/ Cisco 8000 Series Routers Modules & Cards/ 8800-LC-48H,8800-LC-48H,Cisco,Cisco 8800 48x100 GbE QSFP28 Line Card,"US$230,805.00","$2,020.00","<div class=""tab-content"">
<h2><span class=""lpdname"">8800-LC-48H</span> Specification </h2>
<div class=""std"">
        
        Cisco 8800 48x100 GbE QSFP28 Line Card    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-8800-lc-48h.jpg 
8800-RP,Home/ Cisco/ Cisco Modules & Cards/ Cisco 8000 Series Routers Modules & Cards/ 8800-RP,8800-RP,Cisco,Cisco 8800 Route Processor,"US$97,065.00","$1,089.00","<div class=""tab-content"">
<h2><span class=""lpdname"">8800-RP</span> Specification </h2>
<div class=""std"">
        
        Cisco 8800 Route Processor    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-8800-rp.jpg 
8818-FC,Home/ Cisco/ Cisco Modules & Cards/ Cisco 8000 Series Routers Modules & Cards/ 8818-FC,8818-FC,Cisco,Cisco 8818 Fabric Card,"US$47,454.00","$1,300.00","<div class=""tab-content"">
<h2><span class=""lpdname"">8818-FC</span> Specification </h2>
<div class=""std"">
        
        Cisco 8818 Fabric Card    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-8818-fc.jpg 
8812-FC,Home/ Cisco/ Cisco Modules & Cards/ Cisco 8000 Series Routers Modules & Cards/ 8812-FC,8812-FC,Cisco,Cisco 8812 Fabric Card,"US$1,677.00","$3,182.00","<div class=""tab-content"">
<h2><span class=""lpdname"">8812-FC</span> Specification </h2>
<div class=""std"">
        
        Cisco 8812 Fabric Card    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-8812-fc.jpg 
8808-FC,Home/ Cisco/ Cisco Modules & Cards/ Cisco 8000 Series Routers Modules & Cards/ 8808-FC,8808-FC,Cisco,Cisco 8808 Fabric Card,"US$1,672.00","$1,141.00","<div class=""tab-content"">
<h2><span class=""lpdname"">8808-FC</span> Specification </h2>
<div class=""std"">
        
        Cisco 8808 Fabric Card    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-8808-fc.jpg 
C-NIM-1X,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ C-NIM-1X,C-NIM-1X,Cisco,Cisco NIM module 1-port 10G SFP/SFP+ with MACSec,US$993.00,"$2,142.00","<div class=""tab-content"">
<h2><span class=""lpdname"">C-NIM-1X</span> Specification </h2>
<div class=""std"">
        
        Cisco NIM module 1-port 10G SFP/SFP+ with MACSec    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-1.jpg 
NIM-LTEA-LA,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ NIM-LTEA-LA,NIM-LTEA-LA,Cisco,"LTE Advanced for Asia Pacific, Australia and LATAM",US$950.00,"$4,852.00","<div class=""tab-content"">
<h2><span class=""lpdname"">NIM-LTEA-LA</span> Specification </h2>
<div class=""std"">
        
        LTE Advanced for Asia Pacific, Australia and LATAM    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-13.jpg 
NIM-LTEA-EA,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ NIM-LTEA-EA,NIM-LTEA-EA,Cisco,LTE Advanced for Europe and North America,"US$2,019.00","$2,197.00","<div class=""tab-content"">
<h2><span class=""lpdname"">NIM-LTEA-EA</span> Specification </h2>
<div class=""std"">
        
        LTE Advanced for Europe and North America    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-11_1.jpg 
P-LTEA-LA,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ P-LTEA-LA,P-LTEA-LA,Cisco,"4G/ CAT6 LTE Advanced Pluggable for APAC, ANZ, and LATAM","US$4,140.00","$2,420.00","<div class=""tab-content"">
<h2><span class=""lpdname"">P-LTEA-LA</span> Specification </h2>
<div class=""std"">
        
        4G/ CAT6 LTE Advanced Pluggable for APAC, ANZ, and LATAM    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-12.jpg 
P-LTEA-EA,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ P-LTEA-EA,P-LTEA-EA,Cisco,4G/CAT6 LTE Advanced Pluggable for North American and Europe,"US$2,760.00","$1,527.00","<div class=""tab-content"">
<h2><span class=""lpdname"">P-LTEA-EA</span> Specification </h2>
<div class=""std"">
        
        4G/CAT6 LTE Advanced Pluggable for North American and Europe    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-11.jpg 
